idx,行业代码,行业名称,上级行业
50,850523.SI,非金属材料Ⅲ,非金属材料Ⅱ
51,850431.SI,铁矿石,冶钢原料
52,850432.SI,冶钢辅料,冶钢原料
53,850441.SI,长材,普钢
54,850442.SI,板材,普钢
55,850443.SI,钢铁管材,普钢
56,850521.SI,其他金属新材料,金属新材料
57,850522.SI,磁性材料,金属新材料
58,850551.SI,铝,工业金属
59,850552.SI,铜,工业金属
60,850553.SI,铅锌,工业金属
61,850531.SI,黄金,贵金属
62,850532.SI,白银,贵金属
63,850541.SI,稀土,小金属
64,850542.SI,钨,小金属
65,850544.SI,其他小金属,小金属
66,850545.SI,钼,小金属
67,850561.SI,钴,能源金属
68,850562.SI,镍,能源金属
69,850543.SI,锂,能源金属
70,850812.SI,分立器件,半导体
71,850813.SI,半导体材料,半导体
72,850814.SI,数字芯片设计,半导体
73,850815.SI,模拟芯片设计,半导体
74,850816.SI,集成电路制造,半导体
75,850817.SI,集成电路封测,半导体
76,850818.SI,半导体设备,半导体
77,850822.SI,印制电路板,元件
78,850823.SI,被动元件,元件
79,850831.SI,面板,光学光电子
80,850832.SI,LED,光学光电子
81,850833.SI,光学元件,光学光电子
82,850841.SI,其他电子Ⅲ,其他电子Ⅱ
83,850853.SI,品牌消费电子,消费电子
84,850854.SI,消费电子零部件及组装,消费电子
85,850861.SI,电子化学品Ⅲ,电子化学品Ⅱ
86,850922.SI,车身附件及饰件,汽车零部件
87,850923.SI,底盘与发动机系统,汽车零部件
88,850924.SI,轮胎轮毂,汽车零部件
89,850925.SI,其他汽车零部件,汽车零部件
90,850926.SI,汽车电子电气系统,汽车零部件
91,850232.SI,汽车经销商,汽车服务
92,850233.SI,汽车综合服务,汽车服务
93,858811.SI,其他运输设备,摩托车及其他
94,858812.SI,摩托车,摩托车及其他
95,850951.SI,电动乘用车,乘用车
96,850952.SI,综合乘用车,乘用车
97,850912.SI,商用载货车,商用车
98,850913.SI,商用载客车,商用车
99,851112.SI,空调,白色家电
100,851116.SI,冰洗,白色家电
101,851121.SI,彩电,黑色家电
102,851122.SI,其他黑色家电,黑色家电
103,851131.SI,厨房小家电,小家电
104,851132.SI,清洁小家电,小家电
105,851133.SI,个护小家电,小家电
106,851141.SI,厨房电器,厨卫电器
107,851142.SI,卫浴电器,厨卫电器
108,851151.SI,照明设备Ⅲ,照明设备Ⅱ
109,851161.SI,家电零部件Ⅲ,家电零部件Ⅱ
110,851171.SI,其他家电Ⅲ,其他家电Ⅱ
111,851241.SI,肉制品,食品加工
112,851246.SI,预加工食品,食品加工
113,851247.SI,保健品,食品加工
114,851251.SI,白酒Ⅲ,白酒Ⅱ
115,851232.SI,啤酒,非白酒
116,851233.SI,其他酒类,非白酒
117,851271.SI,软饮料,饮料乳品
118,851243.SI,乳品,饮料乳品
119,851281.SI,零食,休闲食品
120,851282.SI,烘焙食品,休闲食品
121,851283.SI,熟食,休闲食品
122,851242.SI,调味发酵品Ⅲ,调味发酵品Ⅱ
123,851312.SI,棉纺,纺织制造
124,851314.SI,印染,纺织制造
125,851315.SI,辅料,纺织制造
126,851316.SI,其他纺织,纺织制造
127,851317.SI,纺织鞋类制造,纺织制造
128,851325.SI,鞋帽及其他,服装家纺
129,851326.SI,家纺,服装家纺
130,851328.SI,运动服装,服装家纺
131,851329.SI,非运动服装,服装家纺
132,851331.SI,钟表珠宝,饰品
133,851333.SI,其他饰品,饰品
134,851412.SI,大宗用纸,造纸
135,851413.SI,特种纸,造纸
136,851422.SI,印刷,包装印刷
137,851423.SI,金属包装,包装印刷
138,851424.SI,塑料包装,包装印刷
139,851425.SI,纸包装,包装印刷
140,851426.SI,综合包装,包装印刷
141,851436.SI,瓷砖地板,家居用品
142,851437.SI,成品家居,家居用品
143,851438.SI,定制家居,家居用品
144,851439.SI,卫浴制品,家居用品
145,851491.SI,其他家居用品,家居用品
146,851451.SI,文化用品,文娱用品
147,851452.SI,娱乐用品,文娱用品
148,851511.SI,原料药,化学制药
149,851512.SI,化学制剂,化学制药
150,851521.SI,中药Ⅲ,中药Ⅱ
151,851522.SI,血液制品,生物制品
152,851523.SI,疫苗,生物制品
153,851524.SI,其他生物制品,生物制品
154,851542.SI,医药流通,医药商业
155,851543.SI,线下药店,医药商业
156,851532.SI,医疗设备,医疗器械
157,851533.SI,医疗耗材,医疗器械
158,851534.SI,体外诊断,医疗器械
159,851562.SI,诊断服务,医疗服务
160,851563.SI,医疗研发外包,医疗服务
161,851564.SI,医院,医疗服务
162,851565.SI,其他医疗服务,医疗服务
163,851611.SI,火力发电,电力
164,851612.SI,水力发电,电力
165,851614.SI,热力服务,电力
166,851616.SI,光伏发电,电力
167,851617.SI,风力发电,电力
168,851618.SI,核力发电,电力
169,851619.SI,其他能源发电,电力
170,851610.SI,电能综合服务,电力
171,851631.SI,燃气Ⅲ,燃气Ⅱ
172,851782.SI,原材料供应链服务,物流
173,851783.SI,中间产品及消费品供应链服务,物流
174,851784.SI,快递,物流
175,851785.SI,跨境物流,物流
176,851786.SI,仓储物流,物流
177,851787.SI,公路货运,物流
178,851731.SI,高速公路,铁路公路
179,851721.SI,公交,铁路公路
180,851771.SI,铁路运输,铁路公路
181,851741.SI,航空运输,航空机场
182,851751.SI,机场,航空机场
183,851761.SI,航运,航运港口
184,851711.SI,港口,航运港口
185,851811.SI,住宅开发,房地产开发
186,851812.SI,商业地产,房地产开发
187,851813.SI,产业地产,房地产开发
188,851831.SI,物业管理,房地产服务
189,851832.SI,房产租赁经纪,房地产服务
190,851833.SI,房地产综合服务,房地产服务
191,852021.SI,贸易Ⅲ,贸易Ⅱ
192,852031.SI,百货,一般零售
193,852032.SI,超市,一般零售
194,852033.SI,多业态零售,一般零售
195,852034.SI,商业物业经营,一般零售
196,852041.SI,专业连锁Ⅲ,专业连锁Ⅱ
197,852061.SI,综合电商,互联网电商
198,852062.SI,跨境电商,互联网电商
199,852063.SI,电商服务,互联网电商
200,852071.SI,旅游零售Ⅲ,旅游零售Ⅱ
201,852161.SI,体育Ⅲ,体育Ⅱ
202,852181.SI,人力资源服务,专业服务
203,852182.SI,检测服务,专业服务
204,852183.SI,会展服务,专业服务
205,852184.SI,其他专业服务,专业服务
206,852121.SI,酒店,酒店餐饮
207,852141.SI,餐饮,酒店餐饮
208,852111.SI,人工景区,旅游及景区
209,852112.SI,自然景区,旅游及景区
210,852131.SI,旅游综合,旅游及景区
211,859851.SI,学历教育,教育
212,859852.SI,培训教育,教育
213,859853.SI,教育运营及其他,教育
214,857821.SI,国有大型银行Ⅲ,国有大型银行Ⅱ
215,857831.SI,股份制银行Ⅲ,股份制银行Ⅱ
216,857841.SI,城商行Ⅲ,城商行Ⅱ
217,857851.SI,农商行Ⅲ,农商行Ⅱ
218,851931.SI,证券Ⅲ,证券Ⅱ
219,851941.SI,保险Ⅲ,保险Ⅱ
220,851922.SI,金融控股,多元金融
221,851923.SI,期货,多元金融
222,851924.SI,信托,多元金融
223,851925.SI,租赁,多元金融
224,851926.SI,金融信息服务,多元金融
225,851927.SI,资产管理,多元金融
226,851928.SI,其他多元金融,多元金融
227,852311.SI,综合Ⅲ,综合Ⅱ
228,857111.SI,水泥制造,水泥
229,857112.SI,水泥制品,水泥
230,857121.SI,玻璃制造,玻璃玻纤
231,857122.SI,玻纤制造,玻璃玻纤
232,850615.SI,耐火材料,装修建材
233,850616.SI,管材,装修建材
234,850614.SI,其他建材,装修建材
235,850617.SI,防水材料,装修建材
236,850618.SI,涂料,装修建材
237,850623.SI,房屋建设Ⅲ,房屋建设Ⅱ
238,857221.SI,装修装饰Ⅲ,装修装饰Ⅱ
239,857236.SI,基建市政工程,基础建设
240,857251.SI,园林工程,基础建设
241,857241.SI,钢结构,专业工程
242,857242.SI,化学工程,专业工程
243,857243.SI,国际工程,专业工程
244,857244.SI,其他专业工程,专业工程
245,857261.SI,工程咨询服务Ⅲ,工程咨询服务Ⅱ
246,850741.SI,电机Ⅲ,电机Ⅱ
247,857331.SI,综合电力设备商,其他电源设备Ⅱ
248,857334.SI,火电设备,其他电源设备Ⅱ
249,857336.SI,其他电源设备Ⅲ,其他电源设备Ⅱ
250,857351.SI,硅料硅片,光伏设备
251,857352.SI,光伏电池组件,光伏设备
252,857353.SI,逆变器,光伏设备
253,857354.SI,光伏辅材,光伏设备
254,857355.SI,光伏加工设备,光伏设备
255,857361.SI,风电整机,风电设备
256,857362.SI,风电零部件,风电设备
257,857371.SI,锂电池,电池
258,857372.SI,电池化学品,电池
259,857373.SI,锂电专用设备,电池
260,857374.SI,燃料电池,电池
261,857375.SI,蓄电池及其他电池,电池
262,857381.SI,输变电设备,电网设备
263,857382.SI,配电设备,电网设备
264,857321.SI,电网自动化设备,电网设备
265,857323.SI,电工仪器仪表,电网设备
266,857344.SI,线缆部件及其他,电网设备
267,850711.SI,机床工具,通用设备
268,850713.SI,磨具磨料,通用设备
269,850715.SI,制冷空调设备,通用设备
270,850716.SI,其他通用设备,通用设备
271,850731.SI,仪器仪表,通用设备
272,850751.SI,金属制品,通用设备
273,850725.SI,能源及重型设备,专用设备
274,850728.SI,楼宇设备,专用设备
275,850721.SI,纺织服装设备,专用设备
276,850723.SI,农用机械,专用设备
277,850726.SI,印刷包装机械,专用设备
278,850727.SI,其他专用设备,专用设备
279,850936.SI,轨交设备Ⅲ,轨交设备Ⅱ
280,850771.SI,工程机械整机,工程机械
281,850772.SI,工程机械器件,工程机械
282,850781.SI,机器人,自动化设备
283,850782.SI,工控设备,自动化设备
284,850783.SI,激光设备,自动化设备
285,850784.SI,其他自动化设备,自动化设备
286,857411.SI,航天装备Ⅲ,航天装备Ⅱ
287,857421.SI,航空装备Ⅲ,航空装备Ⅱ
288,857431.SI,地面兵装Ⅲ,地面兵装Ⅱ
289,850935.SI,航海装备Ⅲ,航海装备Ⅱ
290,857451.SI,军工电子Ⅲ,军工电子Ⅱ
291,850702.SI,安防设备,计算机设备
292,850703.SI,其他计算机设备,计算机设备
293,852226.SI,IT服务Ⅲ,IT服务Ⅱ
294,851041.SI,垂直应用软件,软件开发
295,851042.SI,横向通用软件,软件开发
296,857641.SI,游戏Ⅲ,游戏Ⅱ
297,857651.SI,营销代理,广告营销
298,857652.SI,广告媒体,广告营销
299,857661.SI,影视动漫制作,影视院线
300,857662.SI,院线,影视院线
301,857671.SI,视频媒体,数字媒体
302,857673.SI,图片媒体,数字媒体
303,857674.SI,门户网站,数字媒体
304,857675.SI,文字媒体,数字媒体
305,857676.SI,其他数字媒体,数字媒体
306,857691.SI,教育出版,出版
307,857692.SI,大众出版,出版
308,859951.SI,电视广播Ⅲ,电视广播Ⅱ
309,852212.SI,电信运营商,通信服务
310,852213.SI,通信工程及服务,通信服务
311,852214.SI,通信应用增值服务,通信服务
312,851024.SI,通信网络设备及器件,通信设备
313,851025.SI,通信线缆及配套,通信设备
314,851026.SI,通信终端及配件,通信设备
315,851027.SI,其他通信设备,通信设备
316,859511.SI,动力煤,煤炭开采
317,859512.SI,焦煤,煤炭开采
318,859521.SI,焦炭Ⅲ,焦炭Ⅱ
319,859611.SI,油气开采Ⅲ,油气开采Ⅱ
320,859621.SI,油田服务,油服工程
321,859622.SI,油气及炼化工程,油服工程
322,859631.SI,炼油化工,炼化及贸易
323,859632.SI,油品石化贸易,炼化及贸易
324,859633.SI,其他石化,炼化及贸易
325,859711.SI,大气治理,环境治理
326,859712.SI,水务及水治理,环境治理
327,859713.SI,固废治理,环境治理
328,859714.SI,综合环境治理,环境治理
329,859721.SI,环保设备Ⅲ,环保设备Ⅱ
330,859811.SI,生活用纸,个护用品
331,859812.SI,洗护用品,个护用品
332,859821.SI,化妆品制造及其他,化妆品
333,859822.SI,品牌化妆品,化妆品
334,859831.SI,医美耗材,医疗美容
335,859832.SI,医美服务,医疗美容
